,model,extension,location,working_hours,price,const_year
0,308,D,FI,8973,44900,2011
1,308,E2,PL,4183,49040,2016
2,308,E2,PL,4655,57943,2017
3,308,E2,GB,3175,45335,2015
4,308,E2,GB,2500,51222,2018
5,308,D,IT,6000,38000,2010
6,308,E2,FR,3018,59500,2017
7,308,D,FI,8055,42900,2011
8,308,E2,DE,3071,41176,2017
9,308,E,PL,6270,156000,2012
10,308,C,DE,5541,39900,2008
11,308,E,DE,7099,46500,2012
12,308,E2,DE,3400,50000,2014
13,308,E,DE,4209,47000,2014
14,308,E2,GB,2000,64554,2019
15,308,E,GB,4500,38132,2014
16,308,D,FR,6390,30000,2010
17,308,E2,FR,2956,60000,2017
18,308,E2,SE,4223,65460,2016
19,308,E2,FI,4257,69900,2017
20,308,E2,SE,6800,54654,2014
21,308,E2,DE,2568,61890,2016
22,308,E2,GB,3900,45300,2017
23,308,E2,GB,3275,44704,2015
24,308,E2,CH,2023,70743,2018
25,308,E,AT,12300,36000,2012
26,308,E2,SE,1680,77353,2017
27,308,E,ES,2600,80000,2018
28,308,E2,SE,4500,63164,2015
29,308,E,FR,1800,80000,2020
30,308,D,AT,3245,55500,2012
31,308,E,DE,5900,39500,2012
32,308,E,DE,2155,77900,2018
33,308,E2,GB,1972,82694,2019
34,308,E,BE,2885,41000,2013
35,308,E,NL,750,91000,2020
36,308,E2,GB,736,64783,2018
37,308,E2,IT,2653,63000,2018
38,308,C,FI,7998,38500,2005
39,308,E2,IE,4080,72526,2016
40,308,E2,AT,12375,47500,2014
41,308,D,DE,3400,50500,2011
42,308,E,GB,1933,90822,2017
43,308,E,NL,7748,39900,2012
44,308,E2,RO,5200,51000,2014
45,308,E2,NL,9333,42950,2013
46,308,E2,FI,3704,56000,2013
47,308,E2,GB,5300,36946,2014
48,308,E2,NL,314,97500,2019
49,308,E2,GB,5162,35242,2013
50,308,D,FI,7729,44500,2011
51,308,D,FI,4750,49900,2010
52,308,D,PL,5100,36000,2010
53,308,E2,GE,1490,84843,2017
54,308,E,FR,6550,41900,2012
55,308,D,NL,5200,34500,2011
56,308,C,BE,5041,28950,2004
57,308,D,PL,6300,36060,2012
58,308,D,DE,5369,43500,2011
59,308,D,IT,5600,44000,2010
60,308,E2,FR,570,64000,2016
61,308,D,SE,9075,57143,2012
62,308,E2,PL,5135,50598,2015
63,308,E2,FI,2662,69000,2018
64,308,E,SE,7480,52523,2012
65,308,E,SE,4100,62679,2017
66,308,C,FR,6560,25900,2006
67,308,E2,DE,447,84200,2019
68,308,E2,NO,4377,61495,2014
69,308,D,NL,7501,33800,2011
70,308,E,ES,4484,48000,2013
71,308,E2,GE,1486,85206,2017
72,308,E,FR,6500,38900,2012
73,308,D,DE,13708,24900,2011
74,308,E2,NL,4700,41900,2015
75,308,E2,IT,2222,59900,2017
76,308,D,PL,5600,32500,2011
77,308,E2,SK,4579,56000,2017
78,308,D,EE,9804,45000,2011
79,308,E,DE,1735,67000,2017
80,308,E2,BE,5000,40000,2015
81,308,D,DE,1095,69900,2019
82,308,E,DE,2940,49900,2015
83,308,D,LT,4700,31500,2011
84,308,D,DE,6192,33900,2012
85,308,E2,FR,6200,32800,2012
86,308,E2,BE,315,99000,2019
87,308,E2,NL,1600,58500,2019
88,308,E,PL,750,70200,2020
89,308,E2,FR,2594,76000,2017
90,308,E,FI,7454,42500,2012
91,308,E,SE,3200,53095,2013
92,308,C,AT,2700,42500,2007
93,308,C,BE,4885,26000,2008
94,308,E2,FR,3755,50000,2016
95,308,E2,NL,4700,41900,2014
96,308,D,IT,5138,32000,2009
97,308,E2,DE,4750,44000,2015
98,308,D,ES,3700,35750,2012
99,308,D,ES,7989,27250,2010
100,308,E2,FI,3015,55800,2016
101,308,E,SE,8060,46361,2013
102,308,E2,PL,4090,53936,2017
103,308,E2,FR,4277,50000,2017
104,308,E2,PL,478,50930,2017
105,308,E2,FR,2522,70000,2017
106,308,D,NL,5143,33500,2009
107,308,E2,NL,2456,56900,2016
108,308,E2,BE,4068,53500,2015
109,308,E2,IT,2936,44000,2013
110,308,C,DE,2149,64700,2019
111,308,E,DE,2997,53900,2016
112,308,NG,FI,2838,75000,2019
113,308,D,BE,6673,24950,2010
114,308,E2,FI,4907,58000,2015
115,308,E2,NO,2900,55954,2014
116,308,E2,DE,3441,35500,2014
117,308,E2,NL,1115,67800,2018
118,308,E2,CZ,1170,63694,2018
119,308,E2,PL,3213,56000,2017
120,308,E2,FR,4611,53000,2017
121,308,E2,FR,4090,52000,2015
122,308,D,CZ,7966,29722,2008
123,308,E2,NL,1706,59000,2017
124,308,E2,BE,3050,45000,2015
125,308,D,DE,10300,29900,2010
126,308,E2,DE,2000,57000,2017
127,308,E2,DE,2365,49950,2016
128,308,E2,NO,5025,57503,2014
129,308,E2,EE,1689,54750,2016
130,308,E,BE,1746,62500,2015
131,308,D,BE,12829,27000,2011
132,308,E,NL,4637,43500,2012
133,308,C,DE,569,94890,2019
134,308,E2,LT,3417,43000,2016
135,308,E2,IT,2017,59000,2017
136,308,E2,IT,626,72000,2018
137,308,E,SE,5700,39994,2012
138,308,E,NL,4071,41900,2012
139,308,E2,UA,2580,83000,2016
140,308,E2,BE,3033,48750,2017
141,308,E,PL,5145,47448,2015
142,308,E2,DE,2800,51900,2015
143,308,E2,PL,1411,56282,2018
144,308,D,IT,5700,32000,2009
145,308,C,SE,5250,38591,2006
146,308,E2,PL,3653,54109,2017
147,308,E2,IT,4090,51000,2015
148,308,E2,AT,7617,41500,2014
149,308,E2,CH,2565,55229,2016
